call_id,transcription,duration,label,features
CALL_1001,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",576,scam,"digital_arrest,threat,verification"
CALL_1002,"Congratulations! You have won a lottery of 25 Lakh Rupees from KBC. Please pay a processing fee of Rs 25,000 to release your funds.",693,scam,"digital_arrest,threat,verification"
CALL_1003,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,182,scam,"digital_arrest,threat,verification"
CALL_1004,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",185,normal,"personal,business,advisory"
CALL_1005,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 3783-3706-6457 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,307,scam,"digital_arrest,threat,verification"
CALL_1006,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",516,normal,"personal,business,advisory"
CALL_1007,This is Officer Sharma from the Central Bureau of Investigation. Your Aadhaar card number 1903-2247-9040 is linked to a drug trafficking case in Mumbai. You are under digital arrest. You must keep your camera on and stay in this room.,321,scam,"digital_arrest,threat,verification"
CALL_1008,Your mobile number is going to be blocked in 2 hours by TRAI due to illegal advertising. Connect to senior officials immediately by pressing 9.,109,scam,"digital_arrest,threat,verification"
CALL_1009,Urgent: CBI police officer call back immediately on 9876543210. Your card is frozen due to Mumbai court order.,359,scam,"digital_arrest,threat,verification"
CALL_1010,Calling from Enforcement Directorate. A bank account under your name has laundered 2.5 Crore rupees. You must transfer your funds to a safe government holding account for verification immediately.,441,scam,"digital_arrest,threat,verification"
CALL_1011,TRAI official message: Please link your Aadhaar card with your mobile number to avoid disconnect. Visit nearest franchise store.,296,normal,"personal,business,advisory"
CALL_1012,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",173,normal,"personal,business,advisory"
CALL_1013,"Hi Mom, I will be late for dinner today. Please don't wait for me.",552,normal,"personal,business,advisory"
CALL_1014,this is custom officer. your parcel has drug. go to skype call for digital arrest process now.,128,scam,"digital_arrest,threat,verification"
CALL_1015,"Delhi Police Public Advisory: Beware of fraudsters impersonating CBI, ED or police on video calls. Do not agree to Skype verification or digital arrest. Report scam calls to 1930 immediately.",570,normal,"personal,business,advisory"
CALL_1016,"Dear customer, your credit card statement is ready. Please pay by the due date to avoid interest.",534,normal,"personal,business,advisory"
CALL_1017,"Hello, I am calling from your internet provider. Is your Wi-Fi connection working fine now?",377,normal,"personal,business,advisory"
CALL_1018,TRAI official message: Please link your Aadhaar card with your mobile number to avoid disconnect. Visit nearest franchise store.,636,normal,"personal,business,advisory"
CALL_1019,"Hi Mom, I will be late for dinner today. Please don't wait for me.",512,normal,"personal,business,advisory"
CALL_1020,"Hello, this is Delhi Customs. We have intercepted a parcel sent in your name containing illegal passports and synthetic drugs. To avoid immediate police arrest, you must cooperate with our officers over Skype.",259,scam,"digital_arrest,threat,verification"
